calasanzPFE,public,auth_permission_content_type_id_2f476e4b_fk_django_co,calasanzPFE,public,django_content_type_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,auth_group_permissions_group_id_b120cbf9_fk_auth_group_id,calasanzPFE,public,auth_group_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,auth_group_permissio_permission_id_84c5c92e_fk_auth_perm,calasanzPFE,public,auth_permission_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,auth_user_groups_user_id_6a12ed8b_fk_auth_user_id,calasanzPFE,public,auth_user_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,auth_user_groups_group_id_97559544_fk_auth_group_id,calasanzPFE,public,auth_group_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,auth_user_user_permissions_user_id_a95ead1b_fk_auth_user_id,calasanzPFE,public,auth_user_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,auth_user_user_permi_permission_id_1fbb5f2c_fk_auth_perm,calasanzPFE,public,auth_permission_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,django_admin_log_content_type_id_c4bce8eb_fk_django_co,calasanzPFE,public,django_content_type_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,django_admin_log_user_id_c564eba6_fk_auth_user_id,calasanzPFE,public,auth_user_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,api_document_nature_id_f4113aca_fk_api_nature_id,calasanzPFE,public,api_nature_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,api_document_user_id_fffdf76b_fk_auth_user_id,calasanzPFE,public,auth_user_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,api_pays_continent_id_815155c3_fk_api_region_id,calasanzPFE,public,api_region_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,api_pays_documents_pays_id_95dc241a_fk_api_pays_id,calasanzPFE,public,api_pays_pkey,NONE,NO ACTION,NO ACTION
calasanzPFE,public,api_pays_documents_document_id_3f0cad42_fk_api_document_id,calasanzPFE,public,api_document_pkey,NONE,NO ACTION,NO ACTION
